PLT_CN,FPAG,STANDPLOT_CN
174763787020004,CDS6,174763787020004_3
174763787020004,CDS6,174763787020004_4
174763795020004,CFS2,174763795020004_1
174763795020004,CFS2,174763795020004_2
174763795020004,CFS2,174763795020004_3
174763795020004,CFS2,174763795020004_4
174763818020004,CFS2,174763818020004_1
174763818020004,CFS2,174763818020004_2
174763818020004,CFS2,174763818020004_3
174763818020004,CFS2,174763818020004_4
174763829020004,CHS1,174763829020004_1
174763829020004,CHS1,174763829020004_2
174763829020004,CHS1,174763829020004_3
174763829020004,CHS1,174763829020004_4
174763854020004,CDG1,174763854020004_1
174763854020004,CDG1,174763854020004_2
174763854020004,CDG1,174763854020004_3
174763854020004,CDG1,174763854020004_4
174763861020004,CES3,174763861020004_1
174763861020004,CES3,174763861020004_2
174763861020004,CES3,174763861020004_3
174763861020004,CES3,174763861020004_4
174763863020004,CDS8,174763863020004_1
174763863020004,CDS8,174763863020004_2
174763863020004,CDS8,174763863020004_3
174763863020004,CDS8,174763863020004_4
174763883020004,CHF1,174763883020004_1
174763883020004,CHF1,174763883020004_2
174763883020004,CHF1,174763883020004_3
174763883020004,CHF1,174763883020004_4
174763886020004,CEF3,174763886020004_1
174763886020004,CEF3,174763886020004_2
174763886020004,CEF3,174763886020004_3
174763886020004,CEF3,174763886020004_4
174763896020004,CMS2,174763896020004_1
174763896020004,CMS2,174763896020004_2
174763896020004,CMS2,174763896020004_3
174763896020004,CMS2,174763896020004_4
174763898020004,CES3,174763898020004_1
174763898020004,CES3,174763898020004_2
174763898020004,CES3,174763898020004_3
174763898020004,CES3,174763898020004_4
174763899020004,CES3,174763899020004_1
174763899020004,CES3,174763899020004_2
174763899020004,CES3,174763899020004_3
174763899020004,CES3,174763899020004_4
174763918020004,CWS3,174763918020004_1
174763918020004,CWS3,174763918020004_2
174763918020004,CWS3,174763918020004_3
174763918020004,CWS3,174763918020004_4
174763921020004,CDS4,174763921020004_1
174763921020004,CDS4,174763921020004_2
174763921020004,CDS4,174763921020004_3
174763921020004,CDS4,174763921020004_4
174763923020004,CFF1,174763923020004_1
174763923020004,CFF1,174763923020004_2
174763923020004,CFF1,174763923020004_3
174763923020004,CFF1,174763923020004_4
174763924020004,CHS1,174763924020004_1
